ca,cati,cati_url,endereco,municipio,email,telefone,responsavel,tecnicos,tem_dados
CA de Álvaro de Carvalho,CATI Regional de Marília,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mar%C3%ADlia,"Endereço: Rua Joaquim Bronze Mendes, 99 - CEP: 17410-000",Município: Álvaro de Carvalho,E-mail: ca.alvarodecarvalho@cati.sp.gov.br,Telefone: (14) 3484-1161,Responsável: Engº Agrº Ricardo Cintra Rieckmann,Técnicos:,True
CA de Alvinlândia,CATI Regional de Marília,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mar%C3%ADlia,"Endereço: Av. Dr. Couto Junior, nº 224 - CEP: 17430-000",Município: Alvinlândia,E-mail: ca.alvinlandia@cati.sp.gov.br,Telefone: (14) 3473-1134,Responsável: Engº Agrº Cesar Francisco Barreira,Técnicos:,True
CA de Americana,CATI Regional de Piracicaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Piracicaba,"Endereço: Rua dos Estudantes, nº 292 - CEP: 13470-000",Município: Americana,"E-mail: sergio.diehl@sp.gov.br, tiago.cavalheiro@sp.gov.br",Telefone: (19) 99685-7914,Responsável: Eng. Agr. Mauricio Perissinotto (Diretor Técnico de Divisão),"Técnicos: Eng. Agr. Sérgio Rocha Lima Diehl, Eng. Agr. Tiago Jose Cavalheiro",True
Américo Brasiliense,,,,,,,,,False
CA de Américo de Campos,CATI Regional de Votuporanga,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Votuporanga,"Endereço: Rua São João, 440 - CEP: 15550-000",Município: Américo de Campos,E-mail: ca.americodecampos@cati.sp.gov.br,Telefone: (17) 3445-1272,Responsável: Eng. Agr. Amauri Antonio de Mendonça,"Técnicos: Méd. Vet. Maércio de Paula Silveira (Convênio Prefeitura Municipal), Eng. Agr. Keila Karla Maciel Leitão (Conveniado) Eng. Agr. Adriano Custódio Gasparino",True
CA de Amparo,CATI Regional de Bragança Paulista,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bragan%C3%A7a%20Paulista,"Endereço: Rua Palermo, s/n - CEP: 13970-000",Município: Amparo,E-mail: ca.amparo@cati.sp.gov.br,Telefone: (19) 3807-3690,"Responsável: Chefe da CA
Eng Agr. Ricardo Moncorvo Tonet",Técnicos: Med Vet. Walmir Carmino Pisciottano,True
CA de Analândia,CATI Regional de Limeira,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Limeira,"Endereço: Rua 5, 483 - CEP: 13550-000",Município: Analândia,E-mail: ca.analandia@cati.sp.gov.br,Telefone: (19) 3566-1241,Responsável: Eng. Agr. Marcos Jonatan Amici Jorge,Técnicos: Eng. Agr. Wlademir Schalch Júnior (Convênio - Prefeitura Municipal) e Leandro Eduardo Santarpio (Convênio - Prefeitura Municipal).,True
CA de Andradina,CATI Regional de Andradina,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Andradina,"Endereço: Av. Barão do Rio Branco, 1990 - CEP: 16901-014",Município: Andradina,E-mail: ca.andradina@cati.sp.gov.br / edr.andradina@cati.sp.gov.br,Telefone: (18) 3722-3940,Responsável: Engenheiro Agrônomo Renato Prates de Araújo,Técnicos: Engenheiro Agrônomo Renato Prates de Araújo Engenheiro Agrônomo Salvador Ziviani Engenheiro Agrônomo Pedro Duarte Boaventura Engenheiro Agrônomo Cidinei Santos de Souza Méd. Vet. Josué Fermino dos Santos,True
CA de Angatuba,CATI Regional de Itapetininga,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Itapetininga,"Endereço: Rua Irmãos Abdelnur, 740 - CEP: 18240-000",Município: Angatuba,E-mail: alessandro.senwaitis@sp.gov.br / ca.angatuba@sp.gov.br,Telefone: (15) 3255-1033,Responsável: Eng. Agr. Alessandro Rapolas Senwaitis,Técnicos:,True
CA de Anhembi,CATI Regional de Botucatu,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Botucatu,"Endereço: Av. Faria Lima, 281 - CEP: 18620-000",Município: Anhembi,E-mail: ricardo.chiarelli@sp.gov.br,Telefone: (14) 3884-1155,Responsável: Eng. Agr. Ricardo Henrique Casini Chiarelli,Técnicos:,True
CA de Anhumas,CATI Regional de Presidente Prudente,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Presidente%20Prudente,"Endereço: Rua Vicente José, s/n - CEP: 19580-000",Município: Anhumas,E-mail: ca.anhumas@cati.sp.gov.br,Telefone: (18) 3286-1210,Responsável: Eng. Agr. Marco Aurélio Fernandes,"Técnicos: Eng. Agr. João Menezes de Souza Neto, Eng. Agr. José Luiz Udenal (Convênio Prefeitura Municipal).",True
Aparecida,,,,,,,,,False
CA de Aparecida d'Oeste,CATI Regional de Jales,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jales,"Endereço: Rua Antônio Proni, 775 - CEP: 15735-000",Município: Aparecida d'Oeste,E-mail: ca.aparecidadoeste@cati.sp.gov.br,Telefone: (17) 3635-1370,Responsável: Méd. Vet. Luciana Moraes Teixeira,Técnicos: Méd. Vet. Luciana Moraes Teixeira (Convênio SAA/PM); Marcos Vinícius Fernandes (PM-Supervisor de Serviços de Meio Ambiente); Márcia Regina Azevedo dos Santos (PM-Supervisora de Desenvolvimento Rural); Silvio Sicotti Torres (PM-Diretor do Departamento Rural),True
CA de Apiaí,CATI Regional de Itapeva,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Itapeva,"Endereço: Rua Sete de Setembro, 377 , Centro - CEP: 18320-000",Município: Apiaí,E-mail: ca.apiai@cati.sp.gov.br,Telefone: (15) 3552-1830,Responsável: Eng. Agr. Emmanuel Afonso Souza Moraes,Técnicos: Téc. Agr. Antonio Rodrigues Sarti; Por meio de Convênio Prefeitura Municipal - Méd.ª Vet.ª Andréia Silva e Eng.ª Agr.ª Sabrina Maria Xavier.,True
CA de Araçariguama,CATI Regional de Sorocaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Sorocaba,Endereço: - CEP:,Município: Araçariguama,E-mail: edr.sorocaba@cati.sp.gov.br,Telefone: (15) 3222-2852,Responsável: EDR SOROCABA,Técnicos:,True
CA de Araçatuba,CATI Regional de Araçatuba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ara%C3%A7atuba,"Endereço: Rua Barão do Triunfo, nº 403, Bairro São Joaquim - CEP: 16050-230",Município: Araçatuba,E-mail: ca.aracatuba@cati.sp.gov.br,Telefone: (18) 3624-4200 R. 827,Responsável: Med. Vet. João Taane Kauche Andraus (SAA),Técnicos: Eng. Agr. Carlos Renato Silva Cazetto Tec. Agr. Valdir Bosco,True
CA de Araçoiaba da Serra,CATI Regional de Sorocaba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Sorocaba,"Endereço: Praça das Bandeiras, s/n - CEP: 18190-000",Município: Araçoiaba da Serra,E-mail: edr.sorocaba@cati.sp.gov.br,Telefone: (15) 3281-1625,Responsável: EDR SOROCABA,Técnicos: Eng. Agr. Ana Laura Mercadante dos Santos (conveniada),True
CA de Aramina,CATI Regional de Orlândia,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Orl%C3%A2ndia,Endereço: Rua Alameda da Samambaia 112 - CEP: 14550-000,Município: Aramina,E-mail:,Telefone: (16) 3752-1324,Responsável:,Técnicos:,True
CA de Arandu,CATI Regional de Avaré,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Avar%C3%A9,"Endereço: Rua São Bento, 248 - CEP: 18710-000",Município: Arandu,E-mail: edr.avare@cati.sp.gov.br / ca.arandu@cati.sp.gov.br,Telefone: (14) 99762-6089,Responsável: Eng. Agr. Eliseu Aires de Melo,Técnicos:,True
Arapeí,,,,,,,,,False
CA de Araraquara,CATI Regional de Araraquara,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Araraquara,"Endereço: Rua 13 de Maio, nº 1.352 - CEP: 14810-086",Município: Araraquara,E-mail: edr.araraquara@cati.sp.gov.br,Telefone: (16) 3322-0511,Responsável: Eng. Agr. Érica Ybarra Tannuri de Godoy,Técnicos:,True
CA de Araras,CATI Regional de Limeira,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Limeira,"Endereço: Rua Emílio Ferreira, 70 - CEP: 13600-092",Município: Araras,E-mail: ca.araras@cati.sp.gov.br,Telefone: (19) 3541-2558,Responsável: Eng. Agr. Marcos Jonatan Amici Jorge,Técnicos:,True
CA de Arco-Íris,CATI Regional de Tupã,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Tup%C3%A3,"Endereço: Rua José Demori, nº 245 - CEP: 17630-000",Município: Arco-Íris,E-mail: ca.arcoiris@cati.sp.gov.br,Telefone: (14)3477-1128,Responsável: Engº Agrº Dalírio Marcelino do Prado Junior (Convênio Prefeitura Municipal),Técnicos:,True
CA de Arealva,CATI Regional de Bauru,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bauru,"Endereço: Avenida da Saudade, 494 - Centro - CEP: 17160-000",Município: Arealva,E-mail: ca.arealva@cati.sp.gov.br / milaine.labella@sp.gov.br,Telefone: (14) 3296-1322 / (14) 998284355,Responsável: Engª. Agrª. Milaine Trabuco Labella,Técnicos: Agente de Apoio Agropecuário Luana Maria Marques Boiani dos Santos Méd. Vet. Luiz Gustavo Silva Oliveira (Convênio Prefeitura Municipal) Técnico Agropecuário Elcio Alves de Macedo (Convênio Prefeitura Municipal),True
Areias,,,,,,,,,False
CA de Areiópolis,CATI Regional de Botucatu,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Botucatu,"Endereço: Rua Giácomo Bailo, 360 - CEP: 18670-000",Município: Areiópolis,E-mail: ricardo.chiarelli@sp.gov.br,Telefone: (14) 3846-1128,Responsável: Eng. Agr. Ricardo Henrique Casini Chiarelli,Técnicos:,True
CA de Ariranha,CATI Regional de Catanduva,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Catanduva,"Endereço: Rua Dr. Oliveira Neves, nº 592 - CEP: 15960-000",Município: Ariranha,E-mail: ca.ariranha@cati.sp.gov.br,Telefone: (17) 3576-1102,Responsável: Eng. Agr. Claudio Giusti de Souza,Técnicos: José Márcio Galbiati - Oficial Administrativo,True
CA de Artur Nogueira,CATI Regional de Mogi Mirim,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Mogi%20Mirim,"Endereço: Rua Nossa Senhora das dores, 326 - CEP: 13167-174",Município: Artur Nogueira,E-mail: ca.arturnogueira@cati.sp.gov.br,Telefone: (19)3877-1070,Responsável: Eng. Agr. LUIZ ANTONIO DIAS DE SA,"Técnicos: Eng. Agr. Roseli Terezinha Paes Barbosa Borges (Convênio Prefeitura Municipal), Téc Agr. Aldani Oliveira (Convênio Prefeitura Municipal).",True
Arujá,,,,,,,,,False
CA de Aspásia,CATI Regional de Jales,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Jales,"Endereço: Av. Sete de Setembro, 620 - CEP: 15763-000",Município: Aspásia,E-mail: ca.aspasia@cati.sp.gov.br,Telefone: (17) 3664-8788,Responsável: Méd. Vet. Luciano Martines,Técnicos:,True
CA de Assis,CATI Regional de Assis,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Assis,"Endereço: Rua Santa Cecília, nº 319 - CEP: 19806-050",Município: Assis,E-mail: ca.assis@cati.sp.gov.br,Telefone: (18) 3322-5951,Responsável: Eng. Agr. Edson Henrique Bergamasco,Técnicos:,True
CA de Atibaia,CATI Regional de Bragança Paulista,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bragan%C3%A7a%20Paulista,"Endereço: Rua José Pires, 514 - Centro - CEP: 12940-651",Município: Atibaia,E-mail: ca.atibaia@cati.sp.gov.br,Telefone: (11) 4412-8188,"Responsável: Chefe da CA
Zoot. Emanuel Haddad Perdão","Técnicos: Auxiliar agrop Dilcéia Aparecida Job
Oficial adm Luis Arnaldo Nogueira Moreno",True
CA de Auriflama,CATI Regional de General Salgado,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20General%20Salgado,"Endereço: Rua Bento João de Carvalho, 5422 - CEP: 15350-000",Município: Auriflama,E-mail: ca.auriflama@cati.sp.gov.br,Telefone: (17) 3482-1374,Responsável: Eng. Agr. Helder Rincon Arsufi,Técnicos: Méd. Vet. Paulo César Antoniassi (Convênio SAA/PM); Eng. Agr. Helder Rincon Arsufi (Convênio SAA/PM).,True
CA de Avaí,CATI Regional de Bauru,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bauru,"Endereço: Rua Rio Branco, 706 - CEP: 16680-000",Município: Avaí,E-mail: ca.avai@cati.sp.gov.br / giovana.vital@sp.gov.br,Telefone: (14) 32871122 (14) 997216107,Responsável: Méd. Vet. Giovana Pavão Vital,Técnicos:,True
CA de Avanhandava,CATI Regional de Araçatuba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ara%C3%A7atuba,"Endereço: Rua Rui Barbosa, 128 - CEP: 16360-000",Município: Avanhandava,E-mail: ca.avanhandava@cati.sp.gov.br,Telefone: (18) 3651-2103,Responsável: Técnico Agrícola Elcio Cortez Hernandes (Convênio Prefeitura Municipal/SAA),Técnicos:,True
CA de Avaré,CATI Regional de Avaré,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Avar%C3%A9,"Endereço: Rua Santa Catarina, 1901 - CEP: 18708-005",Município: Avaré,"E-mail: edr.avaré@cati.sp,gov.br",Telefone: (14) 3733-7757,Responsável: Eng. Agr. Rui Ferreira,Técnicos:,True
CA de Bady Bassitt,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Rua Anhanguera, nº 767 - CEP: 15115-000",Município: Bady Bassitt,E-mail: ca.badybassitt@cati.sp.gov.br,Telefone: (17) 3258-1480,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,Técnicos: Zootec. Adelia Maria de M. Cardoso.,True
CA de Balbinos,CATI Regional de Lins,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Lins,Endereço: Rua Ângelo Pavan esquina com Rua Dom Pedro II (Atendimento Presencial com Agendamento) - CEP: 16640-000,Município: Balbinos,E-mail: silvio.barbosa@sp.gov.br,Telefone: (14) 3583-1188,Responsável: Eng. Agr. Sílvio C. Barbosa,Técnicos:,True
CA de Bálsamo,CATI Regional de São José do Rio Preto,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20S%C3%A3o%20Jos%C3%A9%20do%20Rio%20Preto,"Endereço: Av. Dr. Alberto Andaló, nº 584 - CEP: 15140-000",Município: Bálsamo,E-mail: ca.balsamo@cati.sp.gov.br,Telefone: (17) 3264-1360,Responsável: Eng. Agr. Ricardo Domingos Luiz Pereira,Técnicos: Eng. Agr. José Haroldo R. Loureno (Convênio Prefeitura Municipal).,True
CA de Bananal,CATI Regional de Guaratinguetá,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Guaratinguet%C3%A1,"Endereço: Rua Pedro José Nader, 133 - CEP: 12850-000",Município: Bananal,E-mail: ca.bananal@cdrs.sp.gov.br,Telefone: (12) 3116-1361,Responsável: Eng. Agr. Luiz Augusto Lopes Porto,Técnicos:,True
CA de Barão de Antonina,CATI Regional de Avaré,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Avar%C3%A9,"Endereço: Rua Goiânia, 111 - CEP: 18490-000",Município: Barão de Antonina,E-mail: ca.barao@cati.sp.gov.br,Telefone: (15) 3573-1102,Responsável: Eng. Agr. Paulo Roberto Moraes,Técnicos: Engenheiro Agrônomo Paulo Roberto Moraes ( SAA/CDRS) e Med. Vet. Sandro César Bertoni (Convênio Prefeitura Municipal).,True
CA de Barbosa,CATI Regional de Araçatuba,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ara%C3%A7atuba,"Endereço: Av. Maria Cecília, 47 - CEP: 16350-000",Município: Barbosa,E-mail: ca.barbosa@cati.sp.gov.br,Telefone: (18) 3655-1165,Responsável: Eng. Agr. Enaque Vieira Feitoza (Convênio Prefeitura Municipal/SAA),Técnicos: Med. Vet. Carlos Alberto Ferreira Mendonça (Convênio Prefeitura Municipal/SAA) Tec. Adm. Guilherme da Silva Garcia (Convênio Prefeitura Municipal/SAA) Sueli Paz de Arruda Simonato (Convênio Prefeitura Municipal/SAA),True
CA de Bariri,CATI Regional de Jaú,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ja%C3%BA,"Endereço: Av. General Osório, 331 - CEP: 17250-019",Município: Bariri,E-mail: ca.bariri@cati.sp.gov.br,Telefone: (14) 3662-1137,Responsável: Engº Agrº Nivaldo Donizete Muzardo,Técnicos: Engº Agrº Nivaldo Donizete Muzardo.,True
CA de Barra Bonita,CATI Regional de Jaú,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Ja%C3%BA,"Endereço: Rua Ferruccio Bolla, nº 558 - CEP: 17340-000",Município: Barra Bonita,E-mail: edr.jau@cati.sp.gov.br,Telefone: (14) 3641-0323 / (14) 997626086,Responsável: Med Vet. Julio Simões Marcondes,Técnicos: Eng. Agr. Cristiano Coneglian,True
CA de Barra do Chapéu,CATI Regional de Itapeva,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Itapeva,"Endereço: Rua Camilo da Rosa, 80 - CEP: 18325-000",Município: Barra do Chapéu,E-mail: ca.barradochapeu@cati.sp.gov.br,Telefone: (15) 3554-1249,Responsável: Eng. Agr. Emmanuel Afonso Souza Moraes,Técnicos:,True
CA de Barra do Turvo,CATI Regional de Registro,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Registro,"Endereço: R. Bertolino Cândido de Abreu, 58 - CEP: 11955-000",Município: Barra do Turvo,E-mail: ca.bturvo@cdrs.sp.gov.br,Telefone: (15) 3577-1195,Responsável: Tais Cristina Canola,Técnicos: Bendito Jesus,True
CA de Barretos,CATI Regional de Barretos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Barretos,"Endereço: Rua Quatro, 966 - CEP: 14780-005",Município: Barretos,E-mail: ca.barretos@cati.sp.gov.br,Telefone: (17) 3322-8482,Responsável: Eng. Agr. Rolando Salomão Carvalho Custódio do Nascimento,Técnicos: Eng. Agr. João Luis Bonatelli Moni (Convênio Prefeitura).,True
Barrinha,,,,,,,,,False
Barueri,,,,,,,,,False
CA de Bastos,CATI Regional de Tupã,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Tup%C3%A3,"Endereço: Rua Ademar de Barros, nº 520 - CEP: 17690-000",Município: Bastos,E-mail: ca.bastos@cati.sp.gov.br,Telefone: (14)3478-1179,Responsável: Engº Agrº Carlos Henrique Chermont Ponce Fontana (Convênio Prefeitura Municipal),Técnicos:,True
CA de Batatais,CATI Regional de Franca,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Franca,"Endereço: Av. Dr. Chiquinho Arantes,301 - CEP: 14300-000",Município: Batatais,E-mail: ca.batatais@sp.gov.br,Telefone: (16) 3761-2725,Responsável:,Técnicos:,True
CA de Bauru,CATI Regional de Bauru,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Bauru,Endereço: Av. Rodrigues Alves 37-25 - Horto Florestal - Casa 14 - CEP: 17030-000,Município: Bauru,E-mail: eduardocgomes@sp.gov.br / marina.cavalcanti@sp.gov.br,Telefone: (14) 3878-4021 / (14) 3878-4022,Responsável: Méd. Vet. Marina Peres Cavalcanti,Técnicos: Eng. Agr. Eduardo Caminero Gomes Eng. Agr. João Paulo Whitaker,True
CA de Bebedouro,CATI Regional de Barretos,https://www.cati.sp.gov.br/portal/institucional/enderecos?EnderecoSearch%5Bpesquisa%5D=CATI%20Regional%20de%20Barretos,"Endereço: Rua Coronel Joaquim José de Lima, 998 - CEP: 14701-450",Município: Bebedouro,E-mail: ca.bebedouro@cati.sp.gov.br,Telefone: (17) 3342-4022,Responsável: Eng. Agr. Rolando Salomão Carvalho Custódio do Nascimento,Técnicos:,True
